Newspapers:,Links
El Colombiano,http://www.elcolombiano.com/
La Republica,https://www.larepublica.co/
EL Pais,https://www.elpais.com.co/
Vanguardia Liberal,http://www.vanguardia.com/
El Universal,http://www.eluniversal.com.co/
La Patria,http://www.lapatria.com/
La Opinión,https://www.laopinion.com.co/
La Tarde,https://www.latarde.com.co/
El Nuevo Día,http://www.elnuevodia.com.co/nuevodia/
Diario de Yucatán,https://www.yucatan.com.mx/
Diario de Yucatán - Mérida,https://www.yucatan.com.mx/seccion/merida
Periódico A.M. Celaya,https://www.am.com.mx/celaya
Periódico A.M. Guanajuato,https://www.am.com.mx/guanajuato
Periódico A.M. Irapuato,https://www.am.com.mx/irapauto
Periódico A.M. La Piedad,https://www.am.com.mx/lapiedad
Periódico A.M. León,https://www.am.com.mx/leon
Periódico A.M. San Francisco del Rincón,https://www.am.com.mx/sanfranciscodelrincon
Mural - Newspaper,https://www.mural.com/
El Diario de Delicias,https://www.eldiariodechihuahua.mx/Delicias/
El Diario de Nuevo Casas Grandes,https://diario.mx/Nvo_Casas_Grandes/
El Diario de Parral,https://www.elsoldeparral.com.mx/
El Norte - Newspaper,https://www.elnorte.com/
El Mexicano,http://www.el-mexicano.com.mx/inicio.htm
El Sudcaliforniano,https://www.elsudcaliforniano.com.mx/
Diario de Querétaro,https://www.diariodequeretaro.com.mx/
El Occidental,https://www.eloccidental.com.mx/
El Sol - Regional Newspapers,https://www.elsoldemexico.com.mx/
La Voz de la Frontera,https://www.lavozdelafrontera.com.mx/
El Sol de San Luis,https://www.elsoldesanluis.com.mx/
La Opinión Milenio de Torreón,http://www.milenio.com/temas/torreon
Milenio Estado de Mexico,http://www.milenio.com/estado-de-mexico
Milenio León,http://www.milenio.com/leon
Milenio Pachuca,http://www.milenio.com/hidalgo
Milenio Guadalajara,http://www.milenio.com/jalisco
Milenio Diario de Monterrey,http://www.milenio.com/monterrey
Milenio Puebla,http://www.milenio.com/puebla
Milenio Diario de Tampico,http://www.milenio.com/tamaulipas
Milenio Xalapa,http://www.milenio.com/temas/xalapa
Milenio Villahermosa,http://www.milenio.com/villahermosa
Diario de Yucatán - Nacional,https://www.yucatan.com.mx/
Diario de Yucatán - Negocios,
El País - Cultura,https://elpais.com/cultura/
El País - Economía,https://elpais.com/economia/
El País - España,https://elpais.com/elpais/portada_america.html
El País - Internacional,https://elpais.com/internacional/
El País - Madrid,https://elpais.com/ccaa/madrid.html
El País - Opinión,https://elpais.com/elpais/opinion.html
El País - Primera Página,https://elpais.com/kioskoymas/portada/
El País - Última Página,https://elpais.com/tag/fecha/ultimahora
Notimex - General,http://www.notimex.gob.mx/
Notimex - Politics,
Notimex - Seguridad y Justicia,
Notimex - States,
Revista Proceso,https://www.proceso.com.mx/
"Sala de prensa, Presidencia de la República",http://es.presidencia.gov.co/Paginas/HomePrensa.aspx
SEGOB - Boletines de Prensa,https://www.gob.mx/segob/archivo/prensa
